Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
MAOB;16/08/2019;22187619;11936415;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;TRAVAMENTO DA CORRENTE TRANSPORTADORA;TRANSPORTE DE PALETES;115;LINHA 04 - VIDRO
MAOB;16/08/2019;22187761;11936387;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;FALHA DE COMUNICA?O COM SUBSISTEMA LINA;INSPETOR LINATRONIC - K735-H45;115;LINHA 04 - VIDRO
MAOB;16/08/2019;22187763;11936389;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;FALHA NA BARREIRA DE LUZ DA MESA DE ACUM;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;16/08/2019;22187765;11936421;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-11-07;FALHA NO FLUXOSTATO DA BOMBA DA TORRE;TORRE DE RESFRIAMENTO;110;LINHA 04 - VIDRO
MAOB;16/08/2019;22187766;11936422;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01;DESARME DO TRANSPORTE DA MESA 6013 PAL;PALETIZADORA - KR63-G58;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22187794;11936483;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-17;EMPENO NA CHAPA DO PHM;ENVOLVIMENTO;120;OUTROS
MAOB;05/08/2019;22187796;11936484;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-50;Levantamento de Equipamentos;PAINEIS EL?RICOS;110;LINHA 03 - LATA
MAOB;16/08/2019;22187797;11936485;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05;ERRO EXPULSADOR LINEAR.;INSPE?O DE RECIPIENTES VAZIOS;115;LINHA 04 - VIDRO
MAOB;06/08/2019;22187798;11936486;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20;Levantamento de Pe? L3;PALETIZA?O;110;LINHA 03 - LATA
MAOB;16/08/2019;22187826;11936476;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-01;SENSOR FORA DE POSI?O.;TRANSPORTE DE PALETES-DPL LATAS;120;LINHA 03 - LATA
MAOB;16/08/2019;22187828;11936477;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-36-02;FALHA NA IMPRESSÏ.;DATADOR - TAXOMATIC 02;115;LINHA 01 - LATA
MAOB;16/08/2019;22187829;11936478;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;FALHA NO CENTRALIZADOR DE PALETE.;PALETIZADOR I;115;LINHA 01 - LATA
MAOB;16/08/2019;22187848;11936575;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;Corrente quebrada;TRANSPORTE DE PALETES;110;LINHA 01 - LATA
MAOB;17/08/2019;22187849;11936576;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05-01;Falha na inspe? de latas;CANTRONIC 01 - CHECKMAT LATAS;120;LINHA 01 - LATA
MAOB;17/08/2019;22187850;11936577;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;Maquinas rejeitando latas p??etup;SELADORA I;120;LINHA 01 - LATA
MAOB;17/08/2019;22187851;11936578;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01-01;Falha na agulha separadora;DESPALETIZADORA - KR63755;120;LINHA 02 - VIDRO
MAOB;17/08/2019;22187852;11936579;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;Paletes saindo desalinhado;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;17/08/2019;22187854;11936592;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-17-01;Palete n?envolvia;ENVOLVEDORA I;110;LINHA 01 - LATA
MAOB;16/08/2019;22187856;11936594;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-24-01;Base quebrada;MAGAZINE DE TAMPAS;115;LINHA 01 - LATA
MAOB;18/08/2019;22187868;11936474;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-04-04;V?ula Moduladora Apresentando Varia?;LINHA DE MOAGEM 02;110;PROCESSO
MAOB;16/08/2019;22187869;11936494;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;FALHA NA BARREIRA DE LUZ LADO DA ENCHEDO;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;16/08/2019;22187870;11936498;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-08;DESARME DO CONVERSOR DE FREQU?CIA 2904-;TRANSPORTE PZ-TAXOMATIC II;115;LINHA 01 - LATA
MAOB;17/08/2019;22187883;11936462;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-01-00;Botoeira de Emergencia;PREPARA?O XAROPE SIMPLES;110;OUTROS
MAOB;19/08/2019;22187884;11936463;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;FALHA NO SEGMENTO DE PALETE 8811. ONDE V;PALETIZADOR I;110;LINHA 01 - LATA
MAOB;16/08/2019;22187891;11936464;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;FALHA NO SENSOR DE SEGURAN? DO AGREGADO;SELADORA III;120;LINHA 01 - LATA
MAOB;07/08/2019;22187902;11936500;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-50;Realiza? de cadastros L4;PAIN?S EL?RICOS;110;LINHA 04 - VIDRO
MAOB;08/08/2019;22187907;11936505;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-50;Levantamento de Equipamento L4;PAIN?S EL?RICOS;110;LINHA 04 - VIDRO
MAOB;09/08/2019;22187910;11936506;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-09;Cadastramento de Servos;ENCHIMENTO;110;LINHA 04 - VIDRO
DISM PROG;06/01/2020;22187918;11936511;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-17-01;QUEBRA DO BRA? DO CABE?TE DA ENVOLVEDO;ENVOLVEDORA;110;LINHA 02 - VIDRO
MAOB;16/08/2019;22187959;11936535;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;DESARME BOMBA TANQUE 07;LAVADORA DE GARRAFAS - K682-521;115;LINHA 04 - VIDRO
MAOB;16/08/2019;22187987;11936563;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-27;Corrente de rolo torada.;TRANSPORTADOR DE PALLETS;110;LINHA 02 - VIDRO
MAOB;16/08/2019;22187989;11936565;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-17;recolocar sistems do corte do filme;ENVOLVIMENTO;110;LINHA 02 - VIDRO
MAOB;16/08/2019;22187990;11936569;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;CORRENTE TRAVADA P32-15.;TRANSPORTE DE PALETES;120;LINHA 04 - VIDRO
MAOB;17/08/2019;22187992;11936607;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;FALHA NA BARREIRA DE LUZ MESA DE ACUMULO;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;17/08/2019;22187993;11936608;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;DESARME DO MOTO TAG.7101.601 TANQUE 05;LAVADORA DE GARRAFAS - K682-521;115;LINHA 04 - VIDRO
MAOB;17/08/2019;22187997;11936677;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-05;PRIDE NÏ ENCERRADO;FILTRA?O;110;PROCESSO
MAOB;17/08/2019;22187998;11936678;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-18-02;FALHA NA ESTA?O DE CORTE DO FILME.;EMPACOTADORA II;120;LINHA 01 - LATA
MAOB;16/08/2019;22187999;11936679;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-03;FALHA NO DESLOCAMENTO DAS LATAS.;CHECKMAT TAXOMATIC II - K731CH7;120;LINHA 03 - LATA
DISM PROG;17/08/2019;22188067;11936640;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-05-01;QUEBRA DO BOTÏ EMERGENCIA IHM;INSPETOR TOPTRONIC - K719610;120;LINHA 02 - VIDRO
MAOB;14/08/2019;22188073;11936647;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;FALHA NA INSPE?O DE SELO;SELADORA I;120;LINHA 01 - LATA
MAOB;14/08/2019;22188075;11936649;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;FALHA NA INSPE?O DE SELO;SELADORA II;120;LINHA 01 - LATA
MAOB;14/08/2019;22188076;11936650;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;FALHA NA INSPE?O DE SELO;SELADORA III;120;LINHA 01 - LATA
MAOB;16/08/2019;22188164;11936633;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;Travamento do centralizador de paletes;TRANSPORTE DE PALETES;115;LINHA 01 - LATA
MAOB;17/08/2019;22188165;11936634;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;QUEDA DE SELO;SELADORA I;120;LINHA 01 - LATA
DISM PROG;17/08/2019;22188166;11936636;ZM01;ENCE CONF IMPR CAPC NOLQ SCDM;2015-20-20-01-12-02;FALHA DE SINCRONISMO DO AGREGADO 1;ROTULADORA II - K406195;115;LINHA 02 - VIDRO
MAOB;17/08/2019;22188167;11936638;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;INSTALA?O DA CORRENTE DE TRA?O P32-15;TRANSPORTE DE PALETES;120;LINHA 04 - VIDRO
MAOB;16/08/2019;22188169;11936691;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01;AVARIA NO VIRADOR DE CAIXAS;PALETIZADORA - KR63-G58;120;LINHA 04 - VIDRO
MAOB;16/08/2019;22188170;11936692;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-23-01;Enrosco de rolhas na canaleta;ARROLHADOR;115;LINHA 02 - VIDRO
MAOB;16/08/2019;22188171;11936693;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-17-01;Quebra do conjunto de envolvimento;ENVOLVEDORA;120;LINHA 02 - VIDRO
MAOB;15/08/2019;22188173;11936695;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-02;INSPETOR APRESENTAVA FALHA SENSOR SA?A;CANTRONIC 02 - K709326;120;LINHA 03 - LATA
MAOB;17/08/2019;22188174;11936696;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-00-04-01-16-01;SENSOR DA VALVULA ZL-2300 EM FALHA;TANQUES DE RECUPERACAO CERVEJA;110;PROCESSO
MAOB;16/08/2019;22188199;11936548;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-18-01;ROMPIMENTO DO FILME DA BOBINA.;EMPACOTADORA I - KR96 - I91;115;LINHA 03 - LATA
MAOB;17/08/2019;22188209;11936627;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01;DERRUBANDO CAIXA;DESPALETIZA?O;120;LINHA 02 - VIDRO
MAOB;17/08/2019;22188210;11936629;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-25;ENROSCO DE GARRAFAS;TRANSPORTE RT I/II-ECX;120;LINHA 02 - VIDRO
MAOB;17/08/2019;22188211;11936661;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-23-01;ENRROSCO DE ROLHA.;ARROLHADOR;115;LINHA 02 - VIDRO
MAOB;17/08/2019;22188213;11936667;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-01;VLVULA DE SEGURAN?.;XAROPARIA;120;OUTROS
MAOB;18/08/2019;22188217;11936822;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05-01;M?ina apresentando falha de conflu?i;CANTRONIC 01 - CHECKMAT LATAS;120;LINHA 01 - LATA
MAOB;18/08/2019;22188218;11936823;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-31;Falha no motor intermedi?o de transpor;TRANSP. SEC II- LINATRONIC INSP CHEIO II;120;LINHA 04 - VIDRO
MAOB;18/08/2019;22188219;11936824;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-09-01;Falha na altura dos cames;ENCHEDORA DE GARRAFAS - K136-767;110;LINHA 04 - VIDRO
DISM PROG;17/08/2019;22188225;11936659;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-20-20-01-30-01;FALHA NA VALVULA SOLENOIDE DA ESCOTILHA;TRANSPORTADOR DE TAMPAS;120;LINHA 02 - VIDRO
MAOB;16/08/2019;22188229;11936760;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03;AVARIA NO MOTOR EXTRATOR DE R?ULOS;LAVAGEM DE GARRAFAS;120;LINHA 04 - VIDRO
MAOB;18/08/2019;22188241;11936710;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-02-27-01;TRAVAMENTO DAS CORRENTES DO TRP.PALETE;TRANSPORTE DE PALETES;110;LINHA 04 - VIDRO
MAOB;16/08/2019;22188242;11936712;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01;DESARME MOTOR TRP G-6611-M101;PALETIZADORA - KR63-G58;115;LINHA 04 - VIDRO
MAOB;17/08/2019;22188277;11936731;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-19-01;Membranas desgastadas Kit 1000ml;ENCAIXOTADORA - KR66254;120;LINHA 02 - VIDRO
MAOB;17/08/2019;22188282;11936747;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;DESARME BOMBA TANQUE 07 TAG 7101(601);LAVADORA DE GARRAFAS - K682-521;115;LINHA 04 - VIDRO
MAOB;17/08/2019;22188283;11936749;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-10;TRP APRESENTANDO FALHA NA MODULA?O;TRANSP.LGF-LINATRONIC I/II INSP. VAZIO;120;LINHA 04 - VIDRO
MAOB;17/08/2019;22188284;11936770;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-02;DESARME MOTOR TRP PALLET 2119-M101;TRANSPORTE DE PALETES;120;LINHA 03 - LATA
MAOB;17/08/2019;22188285;11936772;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;DESARME MOTOR TRP PALLET 2109-M101;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
DISM PROG;17/08/2019;22188286;11936773;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-28-04;Substituir esteira danificada;TRANSPORTE MAGAZINE CXS - ECX;110;LINHA 02 - VIDRO
MAOB;17/08/2019;22188288;11936837;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-70;INSTALÏ DO TRITURADOR;ETDI;120;OUTROS
MAOB;17/08/2019;22188307;11936791;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-15;BLOQUEIO MOTOR TBB21.3804M101;TRANSPORTE ECH-PZ;110;LINHA 02 - VIDRO
MAOB;18/08/2019;22188309;11936799;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-41-01-06-01;ANOMALIA: TROCADOR DE CALOR DO BLAND 01,;TROCADOR DE CALOR - MOSTO 01;110;UTILIDADES
MAOB;17/08/2019;22188327;11936758;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-28-01;Travamento do trecho G51-38;TRANSPORTE EPC I-ROBOBOX I;115;LINHA 03 - LATA
MAOB;17/08/2019;22188328;11936780;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01;FALHA TEMPERATURA DA CARA FRIGOR?ICA.;ENVASAMENTO DE PET LINHA 01;120;OUTROS
MAOB;18/08/2019;22188330;11936789;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;Falha no envio de soda da maq p o TQ res;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;17/08/2019;22188357;11936807;ZM01;ENCE CNPA CAPC NOLQ SCDM;2015-20-21-02-21;manuten? bomba pneumatica;LIMPEZA/CIP;110;LINHA 03 - LATA
MAOB;18/08/2019;22188400;11936850;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;TRAVAMENTO DO CENTRALIZADOR DE PALETES 1;TRANSPORTE DE PALETES;120;LINHA 01 - LATA
MAOB;18/08/2019;22188401;11936851;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-09;ESTEIRA ALONGADA;TRANSPORTE PZ-TAXOMATIC I;110;LINHA 01 - LATA
MAOB;18/08/2019;22188403;11936853;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;MAGAZINE DE SELO SEM PRESSÏ;SELADORA II;120;LINHA 01 - LATA
MAOB;18/08/2019;22188406;11936856;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-11;TOMBAMENTO DE LATAS NA SAIDA DA SELADORA;TRANSPORTE SAIDA TAXO III-MESA ACUMULO;120;LINHA 01 - LATA
MAOB;16/08/2019;22188408;11936859;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-80-03-01-01-01;Falha de Medi? Redpost;LABORAT?IO - ENVASE;120;OUTROS
MAOB;18/08/2019;22188564;11936862;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;ENCHEDORA SAIU DE POSI?O DE ALTURA;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;18/08/2019;22188567;11936865;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-02;FALHA NA INSPE?O DE SELO;CHECKMAT TAXOMATIC I;120;LINHA 01 - LATA
MAOB;18/08/2019;22188568;11936866;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-03;;CHECKMAT TAXOMATIC II;120;LINHA 01 - LATA
MAOB;17/08/2019;22188569;11936867;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;FALHA NA INSPE?O DE SELO;SELADORA II;120;LINHA 01 - LATA
MAOB;17/08/2019;22188570;11936868;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-02;;CHECKMAT TAXOMATIC I;120;LINHA 01 - LATA
MAOB;17/08/2019;22188572;11936870;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-28-02;FALHA NA MODULA?O DO TRANSPORTE DE PACO;TRANSPORTE EPC I-ROBOBOX I;120;LINHA 01 - LATA
MAOB;19/08/2019;22188602;11936926;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;LATAS SEM SELO;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;19/08/2019;22188603;11936927;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-28-01;REDUTOR 5125 COM SOBRECARGA VARIOPAC I;TRANSPORTE EPC I-ROBOBOX I;120;LINHA 03 - LATA
MAOB;19/08/2019;22188607;11936983;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;LATAS TOMBADAS APOS O TWISTER;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;19/08/2019;22188627;11936952;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-02-01;AJUSTE DO CABE?TE.;DESENCAIXOTADORA - KR66253;120;LINHA 02 - VIDRO
MAOB;19/08/2019;22188629;11936954;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;FALHA DE N?ERO DE CAIXA INCORRETO 6011.;PALETIZADORA - KR63754;120;LINHA 02 - VIDRO
MAOB;19/08/2019;22188660;11936943;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;Falha na esteira separadora 5911;PALETIZADOR I;115;LINHA 01 - LATA
MAOB;16/08/2019;22188681;11936962;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-51;Falha no transporte de Pr?orma;SOPRADORA;110;OUTROS
MAOB;19/08/2019;22188696;11937129;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-05;FALHA NA BARREIRA DE SEGURAN?/ MESA I;TRP SAIDA INF PZ-MESA DE ACUMULO I;115;LINHA 03 - LATA
MAOB;19/08/2019;22188697;11937151;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-01;FALTA DE ADITIVO;DATADOR - TAXOMATIC 01;110;LINHA 03 - LATA
MAOB;19/08/2019;22188698;11937154;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-02;FALHA NO Ctrl DE INSPE?O.;CHECKMAT TAXOMATIC I - K731CH6;120;LINHA 03 - LATA
MAOB;19/08/2019;22188708;11937004;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;FALHA DE MODULA?O;SELADORA III;120;LINHA 01 - LATA
MAOB;19/08/2019;22188711;11937007;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA NO FLADAR;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;20/08/2019;22188712;11937020;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-22-01-09-01;FALHA NO PISTÏ DO BRA? DE ENTRADA;ENCHEDORA DE BARRIS;120;ENVASE CHOP
MAOB;19/08/2019;22188713;11937021;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;DESAME NO ARMARIO 5;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;20/08/2019;22188714;11937025;ZM01;ENCE CONF CAPC CAPF DNAT NOLQ SCDM;2015-00-04-01-03-15;Valvula da placa de distribui? dando p;TANCAGEM MATURA?O 15;120;PROCESSO
MAOB;17/08/2019;22188852;11936971;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-01;LARGURA DAS CORREIAS FORA DE POSI?O;INSPETOR LINATRONIC - K735-H45;120;LINHA 04 - VIDRO
MAOB;17/08/2019;22188854;11936973;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-02;PERDA REFERENCIA LARGURA DAS CORREIAS;INSPETOR LINATRONIC - K735-H46;120;LINHA 04 - VIDRO
MAOB;19/08/2019;22188861;11936999;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-02;LATAS ENROSCANDO NO TRECHO 49;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
MAOB;19/08/2019;22188862;11937010;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-28-02;QUEBRA DA ENTEIRA DO TRP G32-11;TRANSPORTE EPC I-ROBOBOX I;115;LINHA 01 - LATA
MAOB;19/08/2019;22188863;11937011;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01-40;GARRAFAS TOMBANDO NA SA?A PARA ENCHEDOR;DISTRIBUI?O - SA?A;115;LINHA 02 - VIDRO
MAOB;19/08/2019;22188864;11937014;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;MAGAZINE DE SELOS FALHANDO AVAN?.;SELADORA III;110;LINHA 01 - LATA
MAOB;21/08/2019;22188898;11937043;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-42-02-04-01;REPARO EM GARANTIA 40 BAR;COMPRESSAO DE AR  - 40 BAR;110;UTILIDADES
MAOB;19/08/2019;22188903;11937038;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-51;Impress?e encaderna? de esquema;SOPRADORA;110;OUTROS
MAOB;19/08/2019;22188905;11937039;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-36;Realizado limpeza de cabe?e;DATADORES E ETIQUETADORAS;110;OUTROS
MAOB;19/08/2019;22188906;11937085;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-02-01-06-02;ANOMALIA: MOTOBOMBA CENTR?UGA DA TINA F;TINA FILTRO 02;115;PROCESSO
MAOB;19/08/2019;22188949;11937170;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-01-18-01;FALHA NO SENSOR DE CAIXA DOBRADA;EMPACOTADORA - KR96560;120;LINHA 02 - VIDRO
MAOB;19/08/2019;22188953;11937172;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-22-01-29-01;FALHA NO SENSOR DE LACRE;TRANSPORTE DE BARRIL;120;ENVASE CHOP
MAOB;19/08/2019;22188957;11937174;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-06-01;AJUSTE NA INSPE?O DE ROLHA;CHECKMAT ENCHEDORA - K731V40;120;LINHA 02 - VIDRO
MAOB;19/08/2019;22188962;11937077;ZM01;ENCE CONF CAPC NOLQ;2015-20-21-01-18-01;FALHA NO CORTE DO FILME. NO INSTANTE DE;EMPACOTADORA I;115;LINHA 01 - LATA
MAOB;19/08/2019;22188967;11937137;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-19-01;QUEBRADO DA HASTE DO CILINDRO DE ABERTUR;ENCAIXOTADORA - KR623-331;120;LINHA 04 - VIDRO
DISM PROG;19/08/2019;22188972;11937140;ZM01;ENCE CONF IMPR CAPC NOLQ SCDM;2015-20-20-02-18-02;CONFECCIONAR SUPORTE DE A? P/ DATADOR;EMPACOTADORA II - 28NS-400-95;110;LINHA 04 - VIDRO
MAOB;20/08/2019;22188983;11937212;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;Tombamentos de latas.;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;20/08/2019;22188985;11937215;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;Falha no cilindro pneumatico;PALETIZADOR II;115;LINHA 01 - LATA
MAOB;20/08/2019;22188996;11937244;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-02-09-01;Falha no fladar;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;19/08/2019;22189000;11937157;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-34;FALHA NA MODULA?O DO ALINHADOR;PAINEL EL?RICO E COMANDO =TBB31+BL1;120;LINHA 03 - LATA
MAOB;19/08/2019;22189010;11937231;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27;QUEBRA DA CORRENTE TRP-P4406 PALETT VAZI;TRANSPORTADOR DE PALLETS;120;LINHA 01 - LATA
MAOB;19/08/2019;22189025;11937142;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-41-01-06-01;TROCADOR DE AGUA GELADA 01 COM TRANSMISS;TROCADOR DE CALOR - MOSTO 01;120;UTILIDADES
MAOB;19/08/2019;22189041;11937175;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-01-09-01;FALHA NO SISTEMA DE VACUO;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;19/08/2019;22189123;11937107;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-28-01;Travamento do trecho G51-25;TRANSPORTE EPC I-ROBOBOX I;110;LINHA 03 - LATA
